Time,AP[MW],BP[MW],CP[MW]
00:00:00, -0.0072, 0, 0
00:15:00, -0.0072, 0, 0
00:30:00, -0.0072, 0, 0
00:45:00, -0.0072, 0, 0
01:00:00, -0.0072, 0, 0
01:15:00, -0.0072, 0, 0
01:30:00, -0.0072, 0, 0
01:45:00, -0.0072, 0, 0
02:00:00, 0.0072, 0, 0
02:15:00, 0.0072, 0, 0
02:30:00, 0.0072, 0, 0
02:45:00, 0.0072, 0, 0
03:00:00, 0.0072, 0, 0
03:15:00, -0.0072, 0, 0
03:30:00, -0.0021333333333333151, 0, 0
03:45:00, 0.0072, 0, 0
04:00:00, -0.0072, 0, 0
04:15:00, -0.0072, 0, 0
04:30:00, -0.0072, 0, 0
04:45:00, -0.0072, 0, 0
05:00:00, 0.0072, 0, 0
05:15:00, 0.0072, 0, 0
05:30:00, 0.0072, 0, 0
05:45:00, 0.0072, 0, 0
06:00:00, 0.0072, 0, 0
06:15:00, 0.0072, 0, 0
06:30:00, 0.0072, 0, 0
06:45:00, 0.0072, 0, 0
07:00:00, 0.0072, 0, 0
07:15:00, 0.0072, 0, 0
07:30:00, 0.0072, 0, 0
07:45:00, 0, 0, 0
08:00:00, 0, 0, 0
08:15:00, 0, 0, 0
08:30:00, 0, 0, 0
08:45:00, 0, 0, 0
09:00:00, 0, 0, 0
09:15:00, 0, 0, 0
09:30:00, 0, 0, 0
09:45:00, 0, 0, 0
10:00:00, 0, 0, 0
10:15:00, 0, 0, 0
10:30:00, 0, 0, 0
10:45:00, 0, 0, 0
11:00:00, 0, 0, 0
11:15:00, 0, 0, 0
11:30:00, 0, 0, 0
11:45:00, 0, 0, 0
12:00:00, 0, 0, 0
12:15:00, 0, 0, 0
12:30:00, 0, 0, 0
12:45:00, 0, 0, 0
13:00:00, 0, 0, 0
13:15:00, 0, 0, 0
13:30:00, 0, 0, 0
13:45:00, 0, 0, 0
14:00:00, 0, 0, 0
14:15:00, 0, 0, 0
14:30:00, 0, 0, 0
14:45:00, 0, 0, 0
15:00:00, 0, 0, 0
15:15:00, 0, 0, 0
15:30:00, 0, 0, 0
15:45:00, 0, 0, 0
16:00:00, 0, 0, 0
16:15:00, 0, 0, 0
16:30:00, 0, 0, 0
16:45:00, 0, 0, 0
17:00:00, 0, 0, 0
17:15:00, 0, 0, 0
17:30:00, 0, 0, 0
17:45:00, 0, 0, 0
18:00:00, 0, 0, 0
18:15:00, 0, 0, 0
18:30:00, 0, 0, 0
18:45:00, 0, 0, 0
19:00:00, 0, 0, 0
19:15:00, 0, 0, 0
19:30:00, 0, 0, 0
19:45:00, 0, 0, 0
20:00:00, 0, 0, 0 
20:15:00, 0, 0, 0 
20:30:00, 0.0072, 0, 0
20:45:00, 0.0072, 0, 0 
21:00:00, 0.0072, 0, 0 
21:15:00, 0.0072, 0, 0 
21:30:00, 0.0072, 0, 0
21:45:00, 0.0072, 0, 0
22:00:00, -0.0071999999999999984, 0, 0 
22:15:00, 0.0072, 0, 0 
22:30:00, 0.00062222222222223067, 0, 0 
22:45:00, 0.0072, 0, 0
23:00:00, -0.0072, 0, 0
23:15:00, -0.0072, 0, 0 
23:30:00, -0.0072, 0, 0
23:45:00, -0.0072, 0, 0
